(4 byte int),TINTRPL,roll,pitch,yaw,AccS_X,AccS_Y,AccS_Z,OmgS_X,OmgS_Y,OmgS_Z
0000,+317382.2695,-1.7983095E+002,6.2202495E-001,2.5148311E-001,2.3387726E-003,-3.8247269E-003,-5.7801238E-004,-4.0412240E-005,3.5673494E-003,-2.1935932E-003
0000,+317382.2745,-1.7983095E+002,6.2200707E-001,2.5149405E-001,7.0525281E-004,-3.2310020E-003,-4.6750400E-004,-4.0412233E-005,3.5673494E-003,-2.1935932E-003
0000,+317382.2795,-1.7983095E+002,6.2204564E-001,2.5150517E-001,-4.3204383E-004,-1.2973045E-003,-2.2301656E-004,-9.3910225E-005,-7.7085258E-003,-2.2038876E-003
0000,+317382.2845,-1.7983095E+002,6.2202775E-001,2.5151610E-001,1.0032384E-003,-1.4239706E-003,9.3242939E-004,-4.0414387E-005,3.5673494E-003,-2.1935932E-003
0000,+317382.2895,-1.7983095E+002,6.2200987E-001,2.5152701E-001,2.0927417E-003,-7.6237404E-005,-4.1943078E-004,-4.0414387E-005,3.5673494E-003,-2.1935932E-003
0000,+317382.2945,-1.7983095E+002,6.2204832E-001,2.5153813E-001,3.0790190E-003,-1.3281884E-004,2.4949815E-004,-9.3912386E-005,-7.7085258E-003,-2.2038876E-003
0000,+317382.2995,-1.7983089E+002,6.2203062E-001,2.5154901E-001,1.7535365E-003,8.6361903E-004,-1.7268980E-003,1.1279028E-002,3.5414314E-003,-2.1874304E-003
0000,+317382.3045,-1.7983089E+002,6.2206912E-001,2.5156015E-001,4.8506941E-004,2.6323420E-003,2.8230404E-004,-9.3913251E-005,-7.7085271E-003,-2.2038913E-003
0000,+317382.3095,-1.7983089E+002,6.2205124E-001,2.5157109E-001,1.9200711E-003,2.7033838E-003,-6.4562558E-004,-4.0418709E-005,3.5673473E-003,-2.1935964E-003
0000,+317382.3145,-1.7983089E+002,6.2203342E-001,2.5158200E-001,3.8726828E-003,3.0694050E-003,-2.4817769E-005,-4.0418709E-005,3.5673473E-003,-2.1935964E-003
0000,+317382.3195,-1.7983089E+002,6.2207216E-001,2.5153643E-001,3.9788894E-003,3.1182293E-003,-1.0552037E-003,-9.7850148E-005,-7.7206385E-003,9.1359122E-003
0000,+317382.3245,-1.7983089E+002,6.2205428E-001,2.5154734E-001,3.1912276E-003,4.1397996E-003,-7.3070917E-004,-4.0417352E-005,3.5673473E-003,-2.1935964E-003
0000,+317382.3295,-1.7983089E+002,6.2203658E-001,2.5150156E-001,5.1558000E-004,4.9929055E-003,-1.1980610E-003,-4.4350523E-005,3.5552364E-003,9.1462061E-003
